City_ID,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,General Jose Eduvigis Diaz,-27.1667,-58.4167,68.04,77,0,4.74,PY,2022-04-15 21:37:43
251,Aykhal,66.0,111.5,-7.04,100,100,5.86,RU,2022-04-15 21:37:44
252,Te Anau,-45.4167,167.7167,53.49,62,59,8.5,NZ,2022-04-15 21:37:44
253,Ballina,-28.8667,153.5667,63.79,95,75,9.22,AU,2022-04-15 21:37:44
254,Ancud,-41.8697,-73.8203,60.22,84,41,5.1,CL,2022-04-15 21:34:51
255,Biharamulo,-2.6319,31.3089,60.75,96,98,1.3,TZ,2022-04-15 21:37:45
256,Nanortalik,60.1432,-45.2371,26.94,72,89,6.85,GL,2022-04-15 21:37:45
257,Dichiseni,44.2333,27.5333,59.02,33,37,7.63,RO,2022-04-15 21:37:46
258,Inhambane,-23.865,35.3833,75.81,92,94,2.08,MZ,2022-04-15 21:37:46
259,Mahebourg,-20.4081,57.7,77.29,78,75,14.97,MU,2022-04-15 21:37:46
260,Yarmouth,41.7057,-70.2286,64.87,51,0,25.32,US,2022-04-15 21:37:47
261,Olinda,-8.0089,-34.8553,83.93,74,0,8.05,BR,2022-04-15 21:37:47
262,Berlevag,70.8578,29.0864,35.4,97,100,27.36,NO,2022-04-15 21:37:47
263,Longyearbyen,78.2186,15.6401,26.44,86,100,11.5,SJ,2022-04-15 21:37:48
264,Cascais,38.6979,-9.4215,63.75,68,16,15.01,PT,2022-04-15 21:37:04
265,Kashan,33.9831,51.4364,66.13,51,1,4.72,IR,2022-04-15 21:37:48
266,Mahon,39.8885,4.2658,54.16,100,0,3.44,ES,2022-04-15 21:34:28
267,Virginia Beach,36.8529,-75.978,68.02,31,0,13.8,US,2022-04-15 21:37:49
268,Pauini,-7.7136,-66.9764,77.32,90,87,2.57,BR,2022-04-15 21:37:49
269,Naze,28.3667,129.4833,63.52,64,99,21.0,JP,2022-04-15 21:37:49
270,Berdigestyakh,62.0989,126.6992,20.97,96,100,3.91,RU,2022-04-15 21:37:50
271,Codrington,-38.2667,141.9667,58.96,91,44,4.21,AU,2022-04-15 21:38:50
272,Frontera,26.9333,-101.45,92.32,30,75,10.36,MX,2022-04-15 21:35:07
273,Peniche,39.3558,-9.3811,59.29,90,79,12.35,PT,2022-04-15 21:38:51
274,Yarada,17.65,83.2667,84.52,84,75,5.75,IN,2022-04-15 21:38:51
275,Tharad,24.3961,71.6267,79.34,65,0,11.36,IN,2022-04-15 21:38:51
276,Kijang,35.2442,129.2139,44.33,57,90,8.39,KR,2022-04-15 21:38:52
277,Abu Dhabi,24.4667,54.3667,86.11,68,0,2.3,AE,2022-04-15 21:38:52
278,Katangli,51.7102,143.2326,28.45,77,47,6.73,RU,2022-04-15 21:38:52
279,Sakakah,29.9697,40.2064,69.37,20,2,8.66,SA,2022-04-15 21:38:53
280,Tuatapere,-46.1333,167.6833,52.92,65,44,17.65,NZ,2022-04-15 21:38:53
281,Namanga,-2.5433,36.7905,65.64,86,100,3.67,KE,2022-04-15 21:38:54
282,Bethel,41.3712,-73.414,68.85,25,0,12.66,US,2022-04-15 21:38:54
283,Rocha,-34.4833,-54.3333,60.01,86,77,5.17,UY,2022-04-15 21:38:54
284,Souillac,-20.5167,57.5167,77.38,78,75,14.97,MU,2022-04-15 21:38:55
285,Aljezur,37.3191,-8.8033,60.75,76,9,5.91,PT,2022-04-15 21:38:55
286,Cherskiy,68.75,161.3,14.49,94,98,2.64,RU,2022-04-15 21:38:56
287,Sosnovo,60.5514,30.2144,35.26,93,98,10.74,RU,2022-04-15 21:38:56
288,Mehamn,71.0357,27.8492,35.89,98,100,26.33,NO,2022-04-15 21:38:56
289,Coquimbo,-29.9533,-71.3436,62.33,63,20,12.66,CL,2022-04-15 21:38:57
290,Chapleau,47.8405,-83.4034,28.49,50,75,14.97,CA,2022-04-15 21:38:57
291,Geraldton,-28.7667,114.6,59.41,94,0,4.61,AU,2022-04-15 21:38:57
292,Leningradskiy,69.3833,178.4167,12.33,89,100,10.13,RU,2022-04-15 21:38:58
